,City,Country,Date,Latitude,Longitude,Humidity,Max Temp,Wind Speed,Cloudiness
372,Hasaki,JP,1584908988,35.73,140.83,71,51.8,10.29,75
373,Avera,US,1584908988,33.19,-82.53,93,60.8,9.17,90
374,Geraldton,AU,1584908988,-28.77,114.6,47,78.8,12.75,0
375,Kerema,PG,1584908988,-7.96,145.78,86,76.69,2.62,66
376,Tuatapere,NZ,1584908988,-46.13,167.68,90,48.99,3.0,100
377,Mombetsu,JP,1584908989,44.35,143.35,98,29.89,2.24,100
378,Machinga,MW,1584908989,-15.17,35.3,93,68.41,5.26,44
379,Lata,PT,1584908989,40.16,-8.33,87,57.0,8.05,40
380,Acapulco de Juárez,MX,1584908810,16.86,-99.89,66,87.8,10.29,5
381,Kununurra,AU,1584908989,-15.77,128.73,83,73.4,1.12,100
382,Bontang,ID,1584908989,0.13,117.5,85,78.85,8.23,100
383,Rincon,US,1584908989,32.3,-81.24,82,68.0,5.82,90
384,Neiafu,TO,1584908989,-18.65,-173.98,88,80.6,4.7,75
385,Carballo,ES,1584908989,43.21,-8.69,82,57.0,5.82,40
386,Jussara,BR,1584908989,-23.62,-52.47,45,86.0,8.05,40
387,Iwaki,JP,1584908989,37.05,140.88,45,45.0,3.0,91
388,Isangel,VU,1584908989,-19.55,169.27,94,73.4,17.02,75
389,Luoyang,CN,1584908989,34.68,112.45,46,53.83,2.08,68
390,Arrondissement de Mende,FR,1584908989,44.67,3.5,93,42.8,2.24,100
391,Catuday,PH,1584908990,16.29,119.81,73,81.19,7.27,0
392,Maki,JP,1584908990,37.75,138.88,64,36.0,2.24,0
393,Klaksvík,FO,1584908990,62.23,-6.59,87,44.6,23.04,100
394,Bonavista,CA,1584908990,48.65,-53.11,72,23.0,11.99,100
395,Laas,IT,1584908990,46.62,10.7,62,51.8,5.82,0
396,Novikovo,RU,1584908990,51.15,37.89,60,28.27,17.58,100
397,Toamasina,MG,1584908990,-18.17,49.38,88,75.2,11.41,75
398,Flin Flon,CA,1584908990,54.77,-101.86,44,37.4,16.11,75
399,Cairns,AU,1584908718,-16.92,145.77,78,78.8,10.29,40
400,Matara,LK,1584908990,5.95,80.54,87,72.01,4.34,0
401,Darnah,LY,1584908990,32.77,22.64,82,61.93,17.09,0
402,Nacala,MZ,1584908991,-14.54,40.67,93,73.27,6.24,84
403,Salalah,OM,1584908991,17.02,54.09,88,80.6,8.05,75
404,Obihiro,JP,1584908991,42.92,143.2,77,30.25,5.59,32
405,Yabēlo,ET,1584908991,4.88,38.08,78,66.25,4.07,86
406,Fuengirola,ES,1584908991,36.54,-4.62,93,54.0,3.36,75
407,Turukhansk,RU,1584908991,65.82,87.98,92,-13.85,13.53,36
408,Tecolutla,MX,1584908991,20.48,-97.02,55,87.8,4.7,40
409,Harrisonville,US,1584908991,38.65,-94.35,93,45.0,5.82,90
410,Mehrān,IR,1584908991,33.12,46.16,93,35.6,4.7,100
411,Benguela,AO,1584908991,-12.58,13.41,80,79.21,3.6,100
412,Khovu-Aksy,RU,1584908991,51.13,93.6,70,22.33,2.39,71
413,San Policarpo,PH,1584908991,12.18,125.51,81,78.49,7.45,94
414,Kushiro,JP,1584908991,42.98,144.37,87,34.39,3.58,92
415,Ormara,PK,1584908991,25.21,64.64,84,74.89,1.23,58
416,Poum,NC,1584908991,-20.23,164.02,67,79.03,14.12,0
417,Xinan,CN,1584908992,26.72,119.86,89,58.51,18.41,100
418,Pastos Bons,BR,1584908992,-6.6,-44.08,93,75.43,2.21,100
419,Zalaegerszeg,HU,1584908992,46.84,16.84,59,33.8,18.34,0
420,Tegul'det,RU,1584908992,57.31,88.17,85,12.79,14.85,100
421,Ulladulla,AU,1584908992,-35.35,150.47,62,59.0,5.82,34
422,Vaitape,PF,1584908992,-16.52,-151.75,68,82.63,2.01,0
423,Blythe,US,1584908992,33.61,-114.6,30,73.0,6.71,1
424,Diamantino,BR,1584908992,-14.41,-56.45,85,81.91,3.78,36
425,Kombissiri,BF,1584908992,12.07,-1.34,13,98.6,6.26,1
426,Camacha,PT,1584908992,33.08,-16.33,82,57.2,26.4,40
427,Bossangoa,CF,1584908992,6.49,17.46,46,82.81,6.71,18
428,Buluang,PH,1584908992,13.31,123.34,96,71.11,3.94,45
429,Rio Grande,BR,1584908993,-32.03,-52.1,54,82.4,9.17,20
430,Casper,US,1584908739,42.87,-106.31,39,48.99,14.99,75
431,Djambala,CG,1584908993,-2.54,14.75,92,71.29,2.8,89
432,Port Lincoln,AU,1584908993,-34.73,135.87,73,59.05,16.8,98
433,Amānganj,IN,1584908993,24.43,80.03,31,75.61,4.16,0
434,Ürümqi,CN,1584908819,43.8,87.6,61,48.2,6.71,100
435,Alyangula,AU,1584908993,-13.85,136.42,100,73.4,4.45,40
436,Russell,US,1584908993,32.35,-85.2,77,66.2,8.05,90
437,Caratinga,BR,1584908993,-19.79,-42.14,92,65.53,3.29,86
438,San Cristobal,VE,1584908917,7.77,-72.22,45,87.8,9.17,40
439,Raudeberg,NO,1584908993,61.99,5.14,90,41.0,28.86,75
440,Asău,RO,1584908993,46.43,26.4,96,32.0,14.99,90
441,Dafeng,CN,1584908993,23.45,108.59,94,67.69,1.99,20
442,Bathsheba,BB,1584908958,13.22,-59.52,62,84.2,19.46,40
443,Zhanakorgan,KZ,1584908994,43.91,67.25,38,42.49,33.53,100
444,Itarema,BR,1584908994,-2.92,-39.92,83,77.41,4.47,20
445,Edd,ER,1584908994,13.93,41.69,74,76.33,12.73,86
446,Pervomayskiy,RU,1584908994,53.25,40.29,45,27.01,18.34,62
447,Cuamba,MZ,1584908994,-14.8,36.54,96,66.25,4.16,44
448,Estelle,US,1584908994,29.85,-90.11,61,82.0,8.05,75
449,Pevek,RU,1584908995,69.7,170.31,75,7.57,3.31,100
450,Jizan,SA,1584908995,17.33,42.67,69,82.4,5.82,40
451,Novonukutskiy,RU,1584908995,53.7,102.71,95,28.99,3.71,100
452,Ust-Nera,RU,1584908995,64.57,143.2,100,-16.37,2.73,100
453,Honiara,SB,1584908995,-9.43,159.95,100,75.2,2.42,40
454,Buchanan,LR,1584908995,5.88,-10.05,83,82.4,4.7,75
455,Falam,MM,1584908995,22.92,93.68,83,50.41,0.36,0
456,Rimouski,CA,1584908870,48.45,-68.52,48,21.0,11.41,5
457,Ambilobe,MG,1584908995,-13.2,49.05,83,75.43,9.48,24
458,Olafsvik,IS,1584908995,64.89,-23.71,73,37.63,22.15,88
459,Poddor'ye,RU,1584908995,57.47,31.12,60,25.03,4.05,0
460,Guéret,FR,1584908995,46.17,1.87,81,53.01,11.41,92
461,Laguna,US,1584908995,38.42,-121.42,88,68.0,4.63,1
462,Vrede,ZA,1584908995,-27.43,29.17,91,53.65,3.94,100
463,Nelson,NZ,1584908845,-41.28,173.28,71,60.01,1.01,61
464,Hammerfest,NO,1584908996,70.66,23.68,86,33.8,54.13,90
465,Semporna,MY,1584908996,4.48,118.61,94,77.0,3.36,20
466,Zverinogolovskoye,RU,1584908996,54.46,64.85,94,17.47,10.36,64
467,Galle,LK,1584908996,6.04,80.22,73,79.93,9.06,0
468,Ransang,PH,1584908996,8.96,117.58,69,79.57,3.22,68
469,Rebrikha,RU,1584908996,53.07,82.34,87,21.43,8.7,100
470,Qui Nhon,VN,1584908996,13.77,109.23,95,67.69,1.72,28
471,Saravan,AM,1584908996,39.72,45.65,73,41.0,9.17,40
472,Senno,RU,1584908996,59.53,33.92,66,22.51,1.32,0
473,Ponta Delgada,PT,1584908996,37.73,-25.67,71,57.2,11.41,75
474,Waingapu,ID,1584908996,-9.66,120.26,77,83.35,12.5,0
475,Lamu,KE,1584908997,-2.27,40.9,74,85.33,11.63,100
476,Abu Dhabi,AE,1584908703,24.47,54.37,49,73.99,17.22,33
477,Stilfontein,ZA,1584908997,-26.84,26.77,84,58.69,2.53,100
478,Kokkola,FI,1584908945,63.84,23.13,58,32.0,13.87,100
479,Hawkesbury,CA,1584908997,45.6,-74.62,33,30.99,4.7,5
480,Byron Bay,AU,1584908997,-28.65,153.62,83,73.99,13.87,90
481,Fort-Shevchenko,KZ,1584908997,44.51,50.26,38,47.53,13.47,64
482,Horta,PT,1584908813,38.53,-28.63,62,57.2,8.05,20
483,Tessalit,ML,1584908713,20.2,1.01,8,75.25,7.7,0
484,Karratha,AU,1584908997,-20.74,116.85,73,85.33,7.83,80
485,Amapá,BR,1584908997,1.0,-52.0,82,79.21,5.37,35
486,Yerköy,TR,1584908997,39.64,34.47,65,42.49,3.24,100
487,Rondonópolis,BR,1584908715,-16.47,-54.64,81,82.09,3.33,95
488,Zaozhuang,CN,1584908997,34.86,117.55,48,47.17,1.59,89
489,Tavatuy,RU,1584908998,57.07,60.13,79,19.4,8.95,40
490,Sørland,NO,1584908998,67.67,12.69,56,41.0,16.11,75
491,Kroya,ID,1584908998,-7.63,109.25,91,74.53,1.86,58
492,Port Augusta,AU,1584908760,-32.5,137.77,59,62.6,12.75,92
493,Cockburn Town,TC,1584908998,21.46,-71.14,65,80.6,17.22,40
494,Yumen,CN,1584908998,40.28,97.2,60,41.23,6.35,0
495,Upington,ZA,1584908998,-28.45,21.26,42,80.6,8.05,91
496,Valdemārpils,LV,1584908998,57.37,22.59,86,26.6,2.24,0
497,Shubarshi,KZ,1584908998,48.59,57.19,63,37.27,10.42,99
498,Abu Kamal,SY,1584908998,34.45,40.92,59,57.61,13.31,0
499,Andapa,MG,1584908998,-14.65,49.65,97,64.27,2.98,99
500,Maniitsoq,GL,1584908998,65.42,-52.9,77,16.75,23.87,0
501,Kasongo-Lunda,CD,1584908998,-6.47,16.82,87,71.29,1.14,100
502,Sidi Ali,DZ,1584908998,36.1,0.42,70,53.65,6.35,64
503,Mackay,AU,1584908999,-21.15,149.2,88,75.2,6.93,90
504,Lüshunkou,CN,1584908999,38.8,121.27,65,44.6,8.95,0
505,Hamilton,US,1584908873,39.18,-84.53,75,45.0,3.36,90
506,Puerto Peñasco,MX,1584908998,31.32,-113.53,68,68.0,8.99,92
507,Rocha,UY,1584908999,-34.48,-54.33,55,73.81,8.01,64
508,North Battleford,CA,1584908999,52.78,-108.28,91,33.01,13.87,20
509,Balaka,MW,1584908999,-14.98,34.96,90,66.61,3.29,49
510,Biak,ID,1584908999,-0.91,122.88,75,80.65,1.43,98
511,Arrondissement de Vire,FR,1584908999,48.92,-0.83,66,48.2,8.05,89
512,Honningsvåg,NO,1584908999,70.98,25.97,66,37.45,32.12,100
513,Ihosy,MG,1584908999,-22.4,46.12,93,62.47,11.25,30
514,Mudgee,AU,1584908999,-32.59,149.59,77,60.8,6.93,90
515,Forsytheganj,BY,1584908999,52.63,29.73,61,27.73,10.87,55
516,Flinders,AU,1584908999,-34.58,150.86,62,64.99,5.82,95
517,Narsaq,GL,1584909000,60.92,-46.05,58,30.2,14.99,37
518,Morwa,IN,1584909000,22.9,73.83,39,75.61,6.64,13
519,Calderitas,MX,1584909000,18.55,-88.25,58,86.0,16.11,40
520,Ugoofaaru,MV,1584909000,5.67,73.0,68,82.99,6.51,9
521,Ibiá,BR,1584909000,-19.48,-46.54,73,77.0,5.82,20
522,Calama,CL,1584908774,-22.47,-68.93,28,73.4,20.8,0
523,Coolum Beach,AU,1584909000,-26.53,153.1,96,71.01,2.19,37
524,Touros,BR,1584909000,-5.2,-35.46,62,86.0,12.75,20
525,Itaituba,BR,1584909000,-4.28,-55.98,66,91.4,10.29,20
526,Sinop Province,TR,1584909000,41.77,34.87,73,49.69,3.31,74
527,Sagua la Grande,CU,1584909001,22.81,-80.08,51,84.2,18.34,75
528,Mayo,US,1584909001,38.89,-76.51,66,53.01,11.41,90
529,Tura,IN,1584909001,25.52,90.22,56,66.25,2.24,0
530,Yulara,AU,1584909001,-25.24,130.99,26,78.8,17.22,100
531,Bay-Khaak,RU,1584909001,51.17,94.5,65,24.13,2.66,100
532,Chizhou,CN,1584909001,30.66,117.48,87,53.83,2.98,100
533,Prabumulih,ID,1584909001,-3.45,104.25,98,72.01,4.41,100
534,Aitape,PG,1584909001,-3.14,142.35,81,81.01,8.14,100
535,Tautira,PF,1584909001,-17.73,-149.15,66,86.0,4.7,40
536,Illescas,ES,1584909001,40.12,-3.85,93,50.0,3.36,75
537,Boshkengash,TJ,1584909001,38.47,68.81,54,60.8,4.47,100
538,Potoru,SL,1584909001,7.51,-11.48,90,77.77,3.56,39
539,Naifaru,MV,1584909001,5.44,73.37,68,82.99,5.39,18
540,Margate,GB,1584908755,51.38,1.39,75,46.99,9.17,0
541,Xining,CN,1584909002,36.62,101.77,41,38.89,4.68,0
542,Kyzyl-Suu,KG,1584909002,42.34,78.0,60,37.09,3.74,33
543,Kavaratti,IN,1584908977,10.57,72.64,71,82.81,9.13,0
544,Usinsk,RU,1584909002,65.99,57.53,94,15.85,11.16,73
545,San Andrés,CO,1584908761,12.58,-81.7,62,86.0,18.34,40
546,Ossora,RU,1584909002,59.24,163.07,95,30.25,5.28,100
547,Ouésso,CG,1584909002,1.61,16.05,93,70.03,0.36,31
548,Iracoubo,GF,1584909002,5.48,-53.2,77,80.47,13.15,100
549,Loandjili,CG,1584909003,-4.76,11.86,83,82.4,2.24,20
550,Mitchell,US,1584909003,43.71,-98.03,61,48.2,8.05,75
551,Balkanabat,TM,1584909003,39.51,54.37,84,48.07,17.56,100
552,Daru,PG,1584909003,-9.08,143.21,95,76.51,2.01,99
553,Fichē,ET,1584909003,9.8,38.73,55,70.39,4.99,94
554,Kulu,TR,1584909003,39.1,33.08,57,45.37,3.13,100
555,Casa Grande,US,1584909003,32.88,-111.76,32,75.0,5.82,1
556,Khovd,MN,1584909003,48.01,91.64,40,32.95,9.06,100
557,Eirunepé,BR,1584909003,-6.66,-69.87,97,77.05,2.8,100
558,Fort Nelson,CA,1584909003,58.81,-122.7,37,37.4,5.82,75
559,Puerto Madryn,AR,1584909003,-42.77,-65.04,19,79.39,21.39,0
560,Kamaishi,JP,1584909003,39.27,141.88,71,34.39,6.58,0
561,Yanam,IN,1584909003,16.73,82.22,90,74.17,2.64,1
562,Portland,US,1584908641,45.52,-122.68,62,60.01,5.82,20
563,Turinsk,RU,1584909004,58.05,63.7,87,21.43,4.09,100
564,Seymchan,RU,1584909004,62.88,152.43,94,4.15,2.1,99
565,Verkhoyansk,RU,1584909004,67.54,133.38,99,-2.15,3.56,92
566,Kalmunai,LK,1584909004,7.42,81.82,67,81.01,7.58,4
